Dataset Name,Archive Type,Proxy Type,Minimum Year,Maximum Year,Latitude,Longitude,DOI
Corser..2014,peat,GDGT,-9166,1847,60.53,-145.45,10.1177/0959683614540729
bells..1995,lake sediment,pollen,-11349,1950,65.0167,-127.4833,10.1016/0031-0182(95)00070-3
ODP117-723A,marine sediment,foraminifera,-20310,1450,18.0518,57.609,10.1016/j.marmicro.2010.09.006
MD982176,marine sediment,Mg/Ca,-11221,1824.26,-5.0,133.4,10.1126/science.1143791
NIOP905_TEX86,marine sediment,TEX86,-12701,1931,10.6,51.9,10.1029/2005PA001215
ODP1084B,marine sediment,Mg/Ca,-18523,1950,-25.5,13.0,10.1029/2004PA001049
MD022575.Ziegler.2008,lake sediment,Mg/Ca,-18029,711,29.0,-87.1,10.1038/ngeo277
"Composit_MD012421,KR0206",marine sediment,alkenone,-10060,1925,36.0,141.8,10.1130/G25667A.1
MD99-2256..2010,marine sediment,foraminifera,-9383,1993,64.3032,-24.2067,10.1016/j.marmicro.2010.08.002
hudson..2011,lake sediment,chironomid,-7624,1977.94169,61.9,-145.6667,10.1073/pnas.1110913108
D13822,marine sediment,alkenone,-9547.7,1508,38.6,-9.5,10.1029/2008GC002367
Yarnyshnoe.Sepp.2008,lake sediment,pollen,-10534.02,752.14,69.0667,36.0667,10.1016/j.yqres.2008.02.002
HighLake.Shuman.2016,lake sediment,pollen,-9050,1950,44.52,-76.6,10.1016/j.quascirev.2016.03.009
LakeStowell.Lemmen.2017,lake sediment,chironomid,-12233,2007,48.7817,-123.4439,10.1007/s10933-017-9998-3
LakeStowell.Lemmen.2017,lake sediment,chironomid,-12233,2007,48.7817,-123.4439,10.1007/s10933-017-9998-3
DomeC.Jouzel.2007,ice,dD,-10064.4326,1911.62621,-75.1,123.4,10.1126/science.1141038
Dolgoe.Wolfe.2000,lake sediment,d18O,-12158.5,1899.3,71.8667,127.0667,10.1006/qres.2000.2124
MD99-2269..2008,marine sediment,diatom,-9527,1966.102,66.85,-20.85,10.1016/j.quascirev.2008.05.006
MD99-2284..2006,marine sediment,Mg/Ca,-10046.47788,951.7058824,62.3667,0.9667,10.1029/2005GC001078
